표현 장면명,REF 코드,감정 증거,대사·행동 배열,대표성,마지막 검토,상태,상태 변화,상황군,식별자 비노출,역할 표기,원문 위치,원문 장면,장면 조건,장면 종료 방식,정리문 제외,정보 공개 순서,진입 방식,표면 모방 위험,표현 목적,표현 범주,후속 회수
용서를 구하지 않는 사과가 예정된 적대와 공존하는 장면,REF-11,"후계자 A는 오래 고개를 들지 않고, 주인공은 즉시 화해하지 않은 채 차를 마신 뒤 답함",자기 협량 인정 → 사과가 먼저여야 했다는 판정 → 자리 이동과 큰절 → 감사·조직 사죄·개인적 자위의 동기 분리 → 용서를 구하지 않음 → 주인공의 침묵과 관찰 → 사과 수령과 생사결 유지,대비,2026년 8월 4일,준비,조직의 잘못 미정산·개인 관계 적대 → 사과는 수령되지만 죄가 사라지지 않고 예정된 생사결도 유지,,Yes,"주인공, 조직 후계자 A, 동료 A, 주변 인물들",91화 32770~32840행,,"조직 A가 주인공에게 배덕한 피해를 입힘, 사과하는 인물은 조직의 후계자이자 곧 생사결을 벌일 상대임",사과 수령 뒤 곧바로 용무와 비무 준비로 돌아감,Yes,"행동으로 사과의 무게를 먼저 보여 준 뒤, 세 종류의 동기와 용서 불가능성을 설명",후계자 A가 조직의 잘못을 확인한 뒤 한참 고민하고 공개석상에서 먼저 예를 취함,높음,"관계 단절, 사과, 정보 공개, 책임 수용","관계 파열, 사과·책임",상호 존중은 커지지만 전투의 필연성과 조직 책임은 취소되지 않음
해결책을 주지 않고 오래 곁에 머무는 장면,REF-11,격려나 약속 대신 한참 동안 자리를 지키는 시간 자체가 위로의 증거가 됨,주인공의 현실적 판단 → 동료 A에게 선택 질문 → 긴 숙고와 수락 → 서술로 미래 기회 인정 → 주인공이 장시간 말없이 곁에 머묾 → 시간 경과,미해결,2026년 8월 4일,준비,동료 A가 즉시 복수할 가능성 포기·고립 위험 → 선택은 그대로지만 그 결과를 혼자 감당하지 않게 됨,,Yes,"주인공, 동료 A, 지도자 A",93화 33620~33670행,,"동료 A는 가족과 싸워야 하지만 강제 복종의 정신적 제약 때문에 승산이 없음, 주인공도 당장 해결할 수단이 없음",대화 없이 함께 머문 시간 뒤 다음 날과 비무 준비로 넘어감,Yes,"동료 A의 패배 가능성과 심리 제약을 먼저 계산하고, 해결 불가능성을 인정한 뒤 침묵의 동행을 배치","적대 측이 주인공부터 상대하는 연속 비무 방식을 제안하고, 동료 A는 자신의 복수 기회를 사실상 포기해야 함",낮음,"책임 수용, 침묵, 한계 인정","감정 비직접 표현, 관계 회복",동료 A의 과거 극복은 이 장면에서 해결하지 않고 훗날의 기회로 이월됨
고통을 이해하지 못해 침묵으로만 공감하는 장면,REF-11,"위로 대사 대신 자리를 떠나지 않고 듣는 행동, 동료 A의 작은 미소, 이후 평범한 역할 분담으로 관계 변화가 드러남",과거 설명 → 신체 증상 노출 → 주인공의 무응답 → 내부적으로 공통 가능한 고독만 확인 → 침묵 유지 → 동료 A의 작은 미소 → 평범한 불침번 교대,대표,2026년 8월 4일,준비,"동료 A의 개인적 상처 비공개 → 상처가 공유되고, 주인공은 해결자 역할을 맡지 않은 채 곁에 남는 동료가 됨",,Yes,"주인공, 동료 A",85화 30690~30755행,,"동료 A가 가족·계급·강제 훈육으로 인한 상처를 처음 공개함, 주인공은 같은 종류의 고통을 겪지 않아 섣불리 위로할 수 없음",감정적 합의 없이 불침번과 수면이라는 일상 행동으로 닫힘,Yes,"사실과 상처의 신체 증거가 먼저 나오고, 주인공의 공감 범위는 내부 독백으로만 제한해 공개",동료 A가 담담하게 과거를 설명하다가 손 떨림과 입술 경련으로 억압된 감정을 드러냄,낮음,"감정 은폐, 책임 수용, 침묵","감정 비직접 표현, 관계 회복",이후 주인공은 동료 A의 가족 문제와 비무 선택을 판단할 때 이 고백을 고려함
용서하지 않은 채 생존 조건만 거래하는 장면,REF-11,"분노를 설명하지 않고 넌 내 손에 죽는다, 가라 같은 짧은 판정과 긴장 해제 뒤에도 남는 살해 의도로 증명",조건 제시 → 상대의 불신 질문 → 주인공의 살해 의사 재확인 → 긴 응시와 침묵 → 조건 수량 흥정 → 거래 성립 → 짧은 퇴거 명령과 태연한 작별,이탈,2026년 8월 4일,준비,"강제 구금과 즉시 충돌 위험 → 일시적 거리 확보와 탈출 가능성 생성, 원한과 살해 의사는 유지",,Yes,"주인공, 포획자 A, 동료 A",84화 30240~30310행,,"상대가 주인공의 자유를 장기간 억압했고 여전히 강한 전투력을 보유함, 주인공은 상대를 즉시 죽이기 어렵지만 탈출 조건을 협상할 수 있음",화해나 신뢰 회복 없이 거래만 성립하고 상대가 물러남,Yes,"실용적 거래 조건을 먼저 내놓고, 용서 의사가 없다는 감정·관계 판정을 중간에 명확히 공개",주인공이 구결 일부와 이탈 거리를 교환 조건으로 제시함,중간,"거절, 관계 단절, 권한 이동, 정보 공개","관계 파열, 사과·책임",거래는 생존을 위한 임시 조치이며 관계의 원한은 이후까지 지속됨
적의 질문을 무시하고 아군 역할만 확인한 뒤 선공하는 장면,REF-11,위세나 분노를 설명하지 않고 적을 대화 상대로 인정하지 않는 선택과 즉시 공격으로 판단을 증명함,적의 질문 → 무응답 → 가족 A에게 침입 목적 확인 → 동료 A에게 후방 보호 요청 → 짧은 수락 → 즉시 선공,이탈,2026년 8월 4일,준비,적이 대화 주도권을 요구 → 주인공이 정보 우선순위와 역할 배치를 장악하고 전투 주도권을 가져감,"보호·희생, 전투·대결, 정보·비밀",Yes,"주인공, 적대자 A, 가족 A, 동료 A",28화 9285~9317행,28화 · 적의 질문을 무시하고 동료와 역할만 확인한 뒤 공격하는 장면 (28%ED%99%94%20%C2%B7%20%EC%A0%81%EC%9D%98%20%EC%A7%88%EB%AC%B8%EC%9D%84%20%EB%AC%B4%EC%8B%9C%ED%95%98%EA%B3%A0%20%EB%8F%99%EB%A3%8C%EC%99%80%20%EC%97%AD%ED%95%A0%EB%A7%8C%20%ED%99%95%EC%9D%B8%ED%95%9C%20%EB%92%A4%20%EA%B3%B5%EA%B2%A9%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae815db3b5f2144c4050e9.csv),"적대자 A가 우세를 과시하며 방문 목적을 캐묻고, 보호 대상이 주인공 바로 뒤에 있음",대화 종료 선언 없이 공격으로 전환,Yes,"적에게는 정보를 주지 않고, 아군에게 필요한 사실과 역할만 공개함",적대자 A가 주인공에게 목적을 대답하라고 요구함,중간,"긴장 유지, 의무 부여, 정보 은폐","역할 교체, 정보 은폐, 행동 우선",동료 A의 후방 보호가 실제 행동으로 이어져 역할 분배가 말뿐이 아니었음이 확인됨
호칭 변화가 평가를 선행하고도 진로 선택은 바꾸지 않는 장면,REF-11,"외부 원로는 호칭과 진로 제안으로 평가 변화를 행동화하고, 주인공은 표정과 답변을 크게 바꾸지 않음",호칭 변화 → 서술 확인 → 최고 수준의 제안 → 주인공의 담담한 거절·기존 선택 유지,대표,2026년 8월 4일,준비,"가문의 자식으로만 분류 → 독립 무인·영입 대상자로 재분류, 그러나 주인공의 진로는 유지","관계 형성, 정체·출신, 평가·판정",Yes,"주인공, 외부 원로 A",5화 1418~1452행,5화 · 호칭 변화가 외부 평가와 진로 선택을 동시에 드러내는 장면 (5%ED%99%94%20%C2%B7%20%ED%98%B8%EC%B9%AD%20%EB%B3%80%ED%99%94%EA%B0%80%20%EC%99%B8%EB%B6%80%20%ED%8F%89%EA%B0%80%EC%99%80%20%EC%A7%84%EB%A1%9C%20%EC%84%A0%ED%83%9D%EC%9D%84%20%EB%8F%99%EC%8B%9C%EC%97%90%20%EB%93%9C%EB%9F%AC%EB%82%B4%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae812d974cdc0a505f2d95.csv),"가문 붕괴 직후, 외부 원로가 주인공의 재능과 독립성을 새로 평가함",인정의 크기보다 주인공의 기존 선택을 재확인하며 닫힘,Yes,"관계 호칭이 먼저 변하고, 그 뒤 평가 근거와 제안 권한이 공개됨",전날과 다른 존칭으로 먼저 부른 뒤 입문을 제안함,낮음,"공적 인정, 관계 재분류, 판정 확정","공적 인정, 관계 재분류, 호칭 변화",외부 평가와 조직 영입이 이어져도 주인공이 자기 시간 예산을 우선하는 태도가 반복됨
조언을 고집하지 않고 물러나자 상대가 사과와 감사를 내놓는 장면,REF-11,"주인공은 설득을 계속하지 않고 자리를 뜨려 하며, 상대는 그 순간 처음으로 사과와 감사를 함께 말함",허가 요청 → 조언 → 반발 → 주인공의 사과와 철수 → 상대의 사과 → 감사,대비,2026년 8월 4일,준비,조언자 권한 미확정·상대 반발 → 조언은 강제되지 않지만 상대가 태도를 재평가하고 제한적 신뢰가 생김,"관계 갈등, 관계 형성, 교육·전승",Yes,"주인공, 선배 A",14화 4280~4357행,14화 · 조언을 철회하자 상대가 사과와 감사를 동시에 내놓는 장면 (14%ED%99%94%20%C2%B7%20%EC%A1%B0%EC%96%B8%EC%9D%84%20%EC%B2%A0%ED%9A%8C%ED%95%98%EC%9E%90%20%EC%83%81%EB%8C%80%EA%B0%80%20%EC%82%AC%EA%B3%BC%EC%99%80%20%EA%B0%90%EC%82%AC%EB%A5%BC%20%EB%8F%99%EC%8B%9C%EC%97%90%20%EB%82%B4%EB%86%93%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae816b941ad2ad6c187c21.csv),"주인공이 선배 A의 기술 결함을 발견했지만 두 사람은 아직 가까운 사이가 아니고, 상대는 처음에 지적을 받아들이기 어려워함",완전한 친밀감 없이 사과와 감사만 정산하고 닫힘,Yes,"조언의 타당성보다 관계 권한과 수용 여부가 먼저 드러나고, 상대의 재평가는 주인공이 물러난 뒤 공개됨",주인공이 먼저 조언 허가를 구한 뒤 다른 운용 가능성을 제시함,중간,"거절, 관계 재분류, 사과","거리 유지, 사과·책임, 접근 거부",선배 A가 실제로 기술을 재검토하는 후속 행동으로 수용 여부가 증명됨
즉시 습득 뒤 칭찬 대신 침묵으로 장면을 닫는 장면,REF-11,지도자의 충격은 감탄문이 아니라 말막힘과 아무 말도 하지 못하는 시간으로 드러남,즉시 재현 → 주인공의 남은 과제 언급 → 지도자의 말막힘 → 긴 침묵 → 장면 종료,대표,2026년 8월 4일,준비,"초보 학습자로 간주 → 즉시 재현 가능한 비정상적 학습자로 재평가, 다만 실전 숙련 과제는 유지","교육·전승, 성장·실패, 평가·판정",Yes,"주인공, 지도자 A",11화 3360~3382행,11화 · 즉시 습득 뒤 지도자가 침묵으로만 충격을 남기는 장면 (11%ED%99%94%20%C2%B7%20%EC%A6%89%EC%8B%9C%20%EC%8A%B5%EB%93%9D%20%EB%92%A4%20%EC%A7%80%EB%8F%84%EC%9E%90%EA%B0%80%20%EC%B9%A8%EB%AC%B5%EC%9C%BC%EB%A1%9C%EB%A7%8C%20%EC%B6%A9%EA%B2%A9%EC%9D%84%20%EB%82%A8%EA%B8%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae812d82eec985a453c577.csv),몸에 오래 새겨야 한다고 설명된 기술을 주인공이 한 번의 관찰과 실행으로 재현함,칭찬이나 해설 없이 지도자의 침묵에서 끊김,Yes,"성취 행동이 먼저 나오고, 주인공의 자기평가와 지도자의 침묵이 뒤따름",주인공이 배운 기술을 즉시 재현한 직후 남은 숙련 과제를 스스로 말함,낮음,"성장 증명, 침묵, 판정 확정","침묵, 판정, 행동 증명",이후 실전에서 신체 한계와 숙련 부족이 드러나 즉시 습득과 완전 숙련이 구분됨
고통을 지위 근거로 삼던 경쟁자가 선택한 소속을 우선하는 장기 구성,REF-11,자기 연명을 가능하게 하는 조건이 배우자와 동료의 희생을 요구하자 즉시 적대로 돌아섬,고통 진술 → 선 긋기와 노력 판정 → 위계 논쟁 → 유혹 조건 제시 → 시간 끌기 → 아군 대피 → 복합 합공 → 동료 보호,대표,2026년 8월 4일,준비,혈통·고통 기반 우월감이 선택한 소속과 동료의 삶을 우선하는 책임으로 변형됨,"관계 갈등, 보호·희생, 위기·생존, 조직·제도",Yes,"경쟁자 A, 주인공, 동료들, 적대 통치자 A",50화 49~125행 + 104화 61~135행 + 582화 11~119행 + 767화 59~159행 + 776화 119~155행,고통을 자존심의 근거로 삼던 경쟁자가 선택한 소속과 동료 보호를 우선하는 연쇄 (%EA%B3%A0%ED%86%B5%EC%9D%84%20%EC%9E%90%EC%A1%B4%EC%8B%AC%EC%9D%98%20%EA%B7%BC%EA%B1%B0%EB%A1%9C%20%EC%82%BC%EB%8D%98%20%EA%B2%BD%EC%9F%81%EC%9E%90%EA%B0%80%20%EC%84%A0%ED%83%9D%ED%95%9C%20%EC%86%8C%EC%86%8D%EA%B3%BC%20%EB%8F%99%EB%A3%8C%20%EB%B3%B4%ED%98%B8%EB%A5%BC%20%EC%9A%B0%EC%84%A0%ED%95%98%EB%8A%94%20%EC%97%B0%EC%87%84%203b2baa79eaae81bc9356ebe69633a412.csv),선천적 고통을 동반한 천재가 패배·입문·배신 회유·대규모 합공을 겪음,개인 생존이 아니라 동료의 이탈 시간을 벌겠다는 제안,Yes,고통의 소유권 주장 → 이해를 가장하지 않는 정확한 판정 → 조직 위계 충돌 → 치료를 미끼로 한 배신 조건 → 거절과 동료 대피 → 합공과 잔류 제안,자기 고통과 출신·연배를 성취와 지위의 근거로 내세움,낮음,"거절, 신뢰 시험, 의무 부여, 희생 선택","관계 재분류, 역할 교체, 책임 분리, 행동 증명",성격의 오만과 농담은 유지되지만 판단 대상이 자기 증명에서 동료 보호로 이동함
승리 보상이 동료 회복 의무와 다음 목적지로 전환되는 장면,REF-11,"축하보다 상처를 먼저 살피고, 얻은 공적을 동료 회복에 재투자하려는 선택",공적 호명 → 짧은 답례 → 상처 확인 → 실무적 해결책 제안 → 목적지 확정,대표,2026년 8월 4일,준비,개인 승리와 명예가 관계 의무 및 다음 장편 임무로 전환됨,"보상·처벌, 보호·희생, 시간·기다림",Yes,"주인공, 동료 A, 조언자 A",61화 151~233행,성과 축하가 동료의 손실 회복 과제로 뒤집혀 다음 목적지를 정하는 연쇄 (%EC%84%B1%EA%B3%BC%20%EC%B6%95%ED%95%98%EA%B0%80%20%EB%8F%99%EB%A3%8C%EC%9D%98%20%EC%86%90%EC%8B%A4%20%ED%9A%8C%EB%B3%B5%20%EA%B3%BC%EC%A0%9C%EB%A1%9C%20%EB%92%A4%EC%A7%91%ED%98%80%20%EB%8B%A4%EC%9D%8C%20%EB%AA%A9%EC%A0%81%EC%A7%80%EB%A5%BC%20%EC%A0%95%ED%95%98%EB%8A%94%20%EC%97%B0%EC%87%84%203b2baa79eaae817e9fcdcff992b6a2e5.csv),큰 전투의 공적이 확정되었으나 동료가 회복 불능 가능성의 중상을 입음,감정 정산이 아니라 다음 이동 목적지 확정,Yes,성과와 사회적 인정 → 동료의 신체 비용 → 보은을 이용한 회복 경로 → 다음 목적지,공적 호명과 별호 확정 직후 동료의 내상 진단으로 온도를 낮춤,낮음,"공적 인정, 보상 지급, 보호 약속, 의무 부여","공적 인정, 책임 분리, 행동 우선",동료 보호와 회복 의무가 이후 관계 판단의 기준으로 남음
오래 숨겨진 시한이 관계 상처를 거쳐 조직 작전으로 전환되는 장면,REF-11,선배가 손을 대지 못하고 자리를 이탈한 뒤에도 출정 명령에는 응답함,낙관적 가정 → 공개 유예 → 제삼자 진단 → 짧은 질문과 멈춘 손 → 이탈 → 회합의 다수 제안 → 하나의 작전 채택 → 지휘 응답,대표,2026년 8월 4일,준비,사적 비밀이 관계 균열을 만들고 다시 조직 전체의 공적 목표로 확대됨,"관계 갈등, 위기·생존, 정보·비밀, 조직·제도",Yes,"주인공, 선배 지휘자 A, 진단자 A, 조직 수뇌부","1화 13~51행 + 724화 139~151행 + 725화 5~38행, 57~87행, 249~263행",독자 선행 정보가 제한 공유를 거쳐 조직 작전으로 공개되는 연쇄 (%EB%8F%85%EC%9E%90%20%EC%84%A0%ED%96%89%20%EC%A0%95%EB%B3%B4%EA%B0%80%20%EC%A0%9C%ED%95%9C%20%EA%B3%B5%EC%9C%A0%EB%A5%BC%20%EA%B1%B0%EC%B3%90%20%EC%A1%B0%EC%A7%81%20%EC%9E%91%EC%A0%84%EC%9C%BC%EB%A1%9C%20%EA%B3%B5%EA%B0%9C%EB%90%98%EB%8A%94%20%EC%97%B0%EC%87%84%203b2baa79eaae8167aed2dfd9d304cfbc.csv),"독자는 시한을 알지만 핵심 관계자 일부는 모르고, 주인공이 최고 지위와 후사 책임을 맡은 직후",전 조직의 출정 준비와 지휘 응답,Yes,독자 선행 진단 → 장기간 제한 공유 → 관계자의 잘못된 기대 → 제삼자 폭로 → 배제 상처 → 조직 의사결정 → 출정,선배가 주인공이 자신보다 오래 살 것이라고 무심코 가정함,낮음,"긴장 유지, 오해 해소, 의무 부여, 정보 공개","관계 파열, 권한 이동, 정보 공개, 행동 우선",부족한 시간의 문제가 후반에는 누구와 어떻게 살아갈지의 문제로 변형됨
표면 승패의 공정성이 공공 위험 판정으로 확장되는 검객의 장기 구성,REF-11,"고결함을 말하지 않고 패배 선언, 호법, 자기 손실, 민생 위험 판정으로 반복 증명함",패배 선언 → 호법 → 생애 압축 일격 → 공적 호명 → 수면 장애 → 한 문장 파괴 요구 → 임시 사용 → 기술 내재화 판정,대표,2026년 8월 4일,준비,개인 비무의 공정한 검객에서 조직 역사의 증언자와 공공 위험의 독립 판정자로 확장됨,"위기·생존, 전투·대결, 조직·제도, 평가·판정",Yes,"검객 A, 주인공, 동료 A, 외부 문파 인물들","8화 107~169행, 249~265행 + 670화 217~297행 + 812화 161~185행 + 823화 211~342행 + 824화 65~119행",표면 승패보다 검의 의도와 공공 위험을 우선하는 검객의 연쇄 (%ED%91%9C%EB%A9%B4%20%EC%8A%B9%ED%8C%A8%EB%B3%B4%EB%8B%A4%20%EA%B2%80%EC%9D%98%20%EC%9D%98%EB%8F%84%EC%99%80%20%EA%B3%B5%EA%B3%B5%20%EC%9C%84%ED%97%98%EC%9D%84%20%EC%9A%B0%EC%84%A0%ED%95%98%EB%8A%94%20%EA%B2%80%EA%B0%9D%EC%9D%98%20%EC%97%B0%EC%87%84%203b2baa79eaae8113bde7da94f2deaf18.csv),"공정한 입문 비무, 조직 붕괴 직전의 결전, 후유증 상태에서 위험한 신병을 둘러싼 임무",위험 물건의 최종 처분은 보류하되 무기 없이도 같은 경지를 유지할 가능성을 엶,Yes,자발적 패배 선언 → 상대 수련 보호 → 생애를 건 일격과 승전 공표 → 장기 후유증 → 위험 물건 파괴 판정 → 임시 사용 → 무기 의존 탈피 가능성,상대 무기를 부러뜨린 표면 결과와 실제 출수 순서를 분리해 판정함,낮음,"보호 약속, 판정 확정, 패배 인정, 희생 선택","판정, 패배 인정, 한계 인정, 행동 증명",초반의 의도·순서 중심 판정이 후반의 소유권보다 실제 위험 중심 판정으로 확대됨
평가에 민감한 동료가 우회 전술과 독립 판단을 갖추는 장기 구성,REF-11,"연민 대신 동료의 자율성을 인정하고, 불리한 전력차 속에서도 맡을 수 있는 역할을 스스로 정의함",출신 질문과 소문 확인 → 기준 교정 → 보호 행동 → 중상 → 정면전 회피 → 위험 물건 회수 → 임무 재정의,대표,2026년 8월 4일,준비,평가받으려는 신입에서 평가 없이 임무를 정의하는 실용적 독립 행위자로 변함,"보호·희생, 성장·실패, 전투·대결, 평가·판정",Yes,"동료 A, 주인공, 검객 A, 적대 강자 A","7화 139~179행, 215~305행 + 61화 151~229행 + 812화 59~191행",신분에 민감한 동료가 실용적 독립 판단자로 변하는 장기 연쇄 (%EC%8B%A0%EB%B6%84%EC%97%90%20%EB%AF%BC%EA%B0%90%ED%95%9C%20%EB%8F%99%EB%A3%8C%EA%B0%80%20%EC%8B%A4%EC%9A%A9%EC%A0%81%20%EB%8F%85%EB%A6%BD%20%ED%8C%90%EB%8B%A8%EC%9E%90%EB%A1%9C%20%EB%B3%80%ED%95%98%EB%8A%94%20%EC%9E%A5%EA%B8%B0%20%EC%97%B0%EC%87%84%203b2baa79eaae811a9a3bc4aff3f6b7d4.csv),"입문 평가 불안, 보호 행동의 큰 신체 비용, 후반의 압도적 강자와 위험 물건 회수 임무",강자 격파가 아니라 위험 물건 회수와 다음 임무 유지,Yes,평가 불안 → 실력 기준의 교정 → 보호 행동과 사회적 인정 → 신체 비용 → 우회 회수 성공 → 동료의 공공 위험 판정 수용,초반에는 출신과 심사자의 시선을 먼저 계산함,낮음,"관계 재분류, 성장 증명, 역할 교체, 의무 부여","관계 재분류, 역할 교체, 판정, 행동 증명",비천재의 역할이 승리자보다 회수자·운반자·판단 연결자로 확장됨
흥미 기반 편애가 조직 책임과 가족적 의무로 누적되는 장기 구성,REF-11,"애정 고백 대신 혼자 두지 않음, 음식 준비, 보고, 직책 수락, 명령 응답으로 관계를 증명함",괴팍한 발화 → 속도·부상 점검 → 개입 거절 → 후회와 공감 → 직책 수락 → 멈춘 손과 이탈 → 출정 응답,대표,2026년 8월 4일,준비,재미있는 신입에 대한 편애가 조직 후계와 가족적 미래를 책임지는 의무로 누적됨,"관계 형성, 권한·위계, 보호·희생, 조직·제도",Yes,"선배 지휘자 A, 주인공, 조직 구성원들","97화 67~183행 + 151화 93~127행 + 299화 41~127행 + 445화 45~84행 + 716화 23~58행 + 724화 117~151행 + 725화 5~38행, 249~263행",흥미 기반 편애를 드러내던 선배가 조직 판단과 가족적 책임을 함께 떠안는 연쇄 (%ED%9D%A5%EB%AF%B8%20%EA%B8%B0%EB%B0%98%20%ED%8E%B8%EC%95%A0%EB%A5%BC%20%EB%93%9C%EB%9F%AC%EB%82%B4%EB%8D%98%20%EC%84%A0%EB%B0%B0%EA%B0%80%20%EC%A1%B0%EC%A7%81%20%ED%8C%90%EB%8B%A8%EA%B3%BC%20%EA%B0%80%EC%A1%B1%EC%A0%81%20%EC%B1%85%EC%9E%84%EC%9D%84%20%ED%95%A8%EA%BB%98%20%EB%96%A0%EC%95%88%EB%8A%94%20%EC%97%B0%EC%87%84%203b2baa79eaae819eb1d8d31a94027503.csv),전투 부대의 선배가 유망한 신입을 오래 지켜본 뒤 최고 전투 직책을 승계하고 그의 시한을 알게 됨,개인적 충격 뒤에도 새 직책으로 출정 명령에 응답함,Yes,흥미와 편애 → 부대 생존 관리 → 민간·조직 여력 기준 → 과거 후회와 공감 → 직책 승계 → 시한 폭로 → 감정 이탈 → 지휘 복귀,새 피가 재미있다는 노골적 편애와 부대 실무 판단이 함께 제시됨,낮음,"관계 재분류, 권한 이동, 의무 부여, 책임 수용","관계 재분류, 권한 이동, 책임 분리, 행동 증명",직책의 보상이 곧바로 감당해야 할 사적 손실과 결합됨
정체 의심을 해명문이 아니라 누적 행동의 반증과 후속 경고로 재분류하는 장면,REF-46,"주인공은 분노 연기가 간파된 뒤 말을 줄이고, 판정이 유리하게 끝나도 안도 대신 미래의 살해 가능성과 은폐 필요를 계산한다.",직접 의심 질문 → 전형적 분노 연기 → 동료의 연기 간파 → 의심 근거 열거 → 보호·애도·책임 행동의 반증 → 현재 인격 판정 → 노출 경고 → 주인공의 더 강한 은폐 결심,대표,2026년 8월 5일,준비,정체 의심과 관계 파열 가능 → 현재 인격에 대한 신뢰 유지 → 정체 공개가 아니라 노출 방지 의무가 강화됨,"관계 갈등, 정보·비밀, 정체·출신, 평가·판정",Yes,"주인공, 동료 A, 잠든 동료들","150화 72,483~72,717행",신분에 민감한 동료가 실용적 독립 판단자로 변하는 장기 연쇄 (%EC%8B%A0%EB%B6%84%EC%97%90%20%EB%AF%BC%EA%B0%90%ED%95%9C%20%EB%8F%99%EB%A3%8C%EA%B0%80%20%EC%8B%A4%EC%9A%A9%EC%A0%81%20%EB%8F%85%EB%A6%BD%20%ED%8C%90%EB%8B%A8%EC%9E%90%EB%A1%9C%20%EB%B3%80%ED%95%98%EB%8A%94%20%EC%9E%A5%EA%B8%B0%20%EC%97%B0%EC%87%84%203b2baa79eaae811a9a3bc4aff3f6b7d4.csv),가까운 동료가 비정상적 지식으로 정체를 의심하지만 장기간의 행동 기록도 알고 있음,현재 관계가 유지된 뒤에도 다음 노출을 막겠다는 냉정한 결심으로 닫힘,Yes,연기 간파 → 의심 근거 → 반증 행동 → 현재 판정 → 미래 위험 경고 순으로 공개됨,다른 동료들이 잠든 마지막 모임에서 가까운 동료가 정체를 직접 묻음,높음,"관계 재분류, 긴장 유지, 신뢰 시험, 정보 은폐, 판정 번복","긴장 유지, 오해·재해석, 정보 은폐, 판정, 행동 증명",주인공이 집단 대표와 제도 책임을 실제로 맡는 먼 구간에서 ‘현재 행동이 정체를 만든다’는 판정이 확대됨
실용 교육이 누적된 뒤 기존 권력의 누락 책임을 질문으로 드러내고 역할을 자청하는 장면,REF-46,"지도자의 등장 뒤 주인공은 변명하거나 물러서지 않고 사망률과 과거 비교를 질문하며 목소리를 높이고, 마지막에 책임을 직접 맡겠다고 선언한다.",실전 교육 진행 → 지도자 등장 → 교육 정당성 추궁 → 사망률 질문 → 과거 비교 → 장비·교육 부재 확인 → 지도 책임 비판 → 역할 자청,대표,2026년 8월 5일,준비,비공식 교관 → 기존 권력과 책임 충돌 → 집단 생존 문제의 공적 발화자 → 지도권 도전자,"관계 갈등, 교육·전승, 권한·위계, 조직·제도",Yes,"주인공, 제자 A, 어린 구성원들, 지도자 A","153~154화 74,113~74,389행",실용 교육이 기존 권력의 누락 책임과 역할 자청으로 바뀌는 장면 (%EC%8B%A4%EC%9A%A9%20%EA%B5%90%EC%9C%A1%EC%9D%B4%20%EA%B8%B0%EC%A1%B4%20%EA%B6%8C%EB%A0%A5%EC%9D%98%20%EB%88%84%EB%9D%BD%20%EC%B1%85%EC%9E%84%EA%B3%BC%20%EC%97%AD%ED%95%A0%20%EC%9E%90%EC%B2%AD%EC%9C%BC%EB%A1%9C%20%EB%B0%94%EB%80%8C%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8175af87cce2259da98b.csv),주인공의 실전 교육이 기존 전통과 지도자의 책임 영역을 침범하며 실제 대안도 이미 눈앞에 있음,기존 지도자가 하지 않는 일을 자신이 맡겠다는 공개 역할 선언으로 종료,Yes,교육의 실제 내용 → 권력자의 문제 제기 → 사망 수치와 과거 비교 → 누락된 지원 → 역할 선언,제자의 요청으로 어린 구성원에게 실전 지식을 가르치던 중 지도자 A가 현장을 목격함,높음,"권한 이동, 긴장 유지, 의무 부여, 책임 수용","권한 이동, 대사 우선, 책임 분리, 판정",바로 다음 장면에서 기존 지도자가 교육권·금지선·도전 조건을 조건부로 넘김
