장면명,REF 코드,관찰 좌표,내부 위치,마지막 검토,상태,식별자 비노출,역할 표기,연결 장면,원문 확보,장면 역할,장면 조건,표면 모방 위험
공식 낙인 한 문장이 사망한 영웅을 전 사회의 제거 대상으로 바꾸는 장면,REF-46,과거 작위와 영웅 명성은 공권력의 짧은 공표로 검증·귀환·관계 접근의 위험으로 뒤집힌다.,"338화 166,323~166,337행",2026년 8월 5일,준비,Yes,"귀환자 A, 동료 B, 공권력 조직",공식 기록 수습 보류 / 공개 정체 회수,Yes,"이탈, 핵심",영웅이 죽은 것으로 알려진 뒤 소문이 공식 승인됨,높음
조직 실패 뒤 생존자 증언이 한 전투자를 제거보다 회유할 상징으로 만드는 장면,REF-46,공적이 강해서가 아니라 조직 실패의 생존 증언과 불신이 한 사람을 잠재적 구심점으로 만든다.,"231~232화 115,251~115,325행",2026년 8월 5일,준비,Yes,"상징적 생존자 A, 왕가 관료 B, 실패한 기사단, 생존자들",작위·보상 회유 / 공식 낙인,Yes,"선행, 핵심",공권력 조직이 대규모 인원을 버리고 도주한 뒤 생존자 증언이 확산됨,높음
영웅 작위가 하급 전투원의 보호 기대와 지휘부 접근·복무 의무를 동시에 만드는 장면,REF-46,"하급 전투원은 작위 영웅을 후견인으로 기대하고, 공권력은 같은 작위로 회의 접근과 군사 편입을 실행한다.","708화 334,960~335,150행",2026년 8월 5일,준비,Yes,"작위 단장 A, 부단장 B, 하급 전투원들, 기사단·군단·군사령부",작위 회유 / 소집 의무,Yes,"핵심, 후속",현역 전투자 출신 작위 귀족이 전시에 등장함,높음
공개 행사에서 본명과 작위를 선언해 낙인 기록과 조직 위신을 충돌시키는 장면,REF-46,수천 명이 보는 자리에서 공식 호명과 실제 정체를 결합해 조직이 기존 낙인을 비밀 임무용 위장으로 재작성하게 만든다.,"432~433화 213,340~213,585행",2026년 8월 5일,준비,Yes,"귀환자 A, 고위 귀족 B, 공권력, 공개 군중",공식 낙인 / 영웅 개선식 / 전시 작위,Yes,"이탈, 핵심",영웅 행사와 공식 낙인 기록이 공개 자리에서 동시에 성립할 수 없음,높음
작위 단장의 강제 분리 전에 투표로 부단장을 세우고 최종 판단 책임을 넘기는 장면,REF-46,외부 제도가 단장을 떼어 갈 가능성 때문에 내부 투표로 대리 권한을 만들고 결과 책임까지 명시한다.,"707~708화 334,780~334,883행",2026년 8월 5일,준비,Yes,"단장 A, 선출된 부단장 B, 후보 C, 조직원들",전시 소집 / 군단 편입,Yes,"대비, 핵심",외부 복무 의무가 조직 내부 지휘 공백을 만듦,중간
작위·보물 접근·장비 보상과 공식 우호 연출을 하나의 회유 조건으로 묶는 장면,REF-46,보상은 성장 자원과 접근권을 열지만 공식 행사에서 조직에 우호적인 상징으로 행동할 의무를 함께 만든다.,"232화 115,329~115,435행",2026년 8월 5일,준비,Yes,"상징적 생존자 A, 왕가 관료 B, 생존자들",상징적 구심점 / 전시 작위 의무,Yes,"대비, 핵심",조직이 불신의 구심점을 제도 안으로 흡수하려 함,높음
사망자의 낙인을 공식 승인한 행위를 정치 신호로 읽고 즉시 복귀를 보류하는 장면,REF-46,기록의 사실 여부보다 왜 조직이 죽은 사람의 소문을 굳이 승인했는지 먼저 판단해 공개 검증을 늦춘다.,"340~341화 167,757~167,817행",2026년 8월 5일,준비,Yes,"귀환자 A, 공권력 조직, 검증 수단",공식 낙인 / 공개 행사 역전,Yes,"대비, 핵심",기록은 반박 가능하지만 승인 목적과 배후를 모름,높음
빈 관·생존자 행렬·연설로 구조 실패를 비밀 임무 영웅 서사로 편집하는 장면,REF-46,죽은 것으로 처리했던 집단의 귀환을 행렬·공적 호명·조직 찬사로 다시 짜 실제 실패와 협상을 지운다.,"432화 212,671~213,077행",2026년 8월 5일,준비,Yes,"귀환자 집단, 고위 귀족 A, 공권력, 귀족·길드·군중",귀환자 격리 / 공개 본명 선언,Yes,"대비, 핵심",조직이 구조하지 못한 생존자들의 전공을 질서 유지용 서사로 발표해야 함,높음
귀환 집단을 특수 부대로 분류해 감시·격리하고 공개 행사 전까지 은폐시키는 장면,REF-46,귀환자의 사실 진술과 물품을 선별한 뒤 대중 관심과 행사 성공을 이유로 이동·공개 권한을 제한한다.,"431화 212,247~212,661행",2026년 8월 5일,준비,Yes,"귀환자 집단, 고위 귀족 A, 공권력 특수부대",영웅 개선식 / 공개 정체 충돌,Yes,"선행, 핵심",대규모 전공과 위험한 증거를 가진 장기 실종 집단이 귀환함,높음
화려한 영웅 행사 뒤 유가족의 상실과 구조 실패 책임이 남는 장면,REF-46,사망자 이름과 사죄를 공개해도 유가족의 상실과 조직 실패를 개인의 복수 의무로 바꿀 수는 없다.,"433화 213,680~213,735행",2026년 8월 5일,준비,Yes,"귀환자 A, 사망자 유가족, 공권력",유가족 보상 요구 / 개선식 서사,Yes,"대비, 실패",공식 행사가 전공과 사죄를 연출했지만 실제 희생이 남음,중간
가족 구출과 신분 해결을 조건으로 미래 동료 약속을 체결하는 장면,REF-46,반복 협력의 보상은 친구 호칭이 아니라 가족·신분·현재 동료 안전 조건이 충족될 때 발동하는 동료권이다.,"305~306화 151,281~151,409행",2026년 8월 5일,준비,Yes,"제안자 A, 조건부 협력자 B, 가족 C",복수 기원 공개 / 제한적 정보 공개 확대,Yes,"핵심, 후속",가족 생존·신분 제약·현재 동료 안전 문제가 남음,높음
자기 중상을 처리한 뒤 구조한 상대의 생존 상태를 확인하는 장면,REF-46,구조자는 자기 신체 결손을 실용적으로 복구하고 곧바로 상대와 일행의 상태 확인으로 전환한다.,"277화 136,973~137,033행",2026년 8월 5일,준비,Yes,"구조자 A, 부상자 B, 동료 C",협박자 제거 / 해독제 제공,Yes,"대비, 후속",구조자와 인질 모두 심각하게 다쳤음,높음
협박자의 정보 독점을 대체 심문 경로로 깨고 인질 편을 택하는 장면,REF-46,숙원 정보가 독점된 듯 보여도 다른 정보원을 계산해 협박자의 힘을 없앤다.,"276~277화 136,863~136,965행",2026년 8월 5일,준비,Yes,"인질 A, 적대자 B, 협박자 C",해독제 제공 / 공동 전투,Yes,"대비, 핵심",협박자가 인질과 숙원 정보를 동시에 쥐지만 대체 정보원이 존재함,높음
살해 금지 계약을 우회해 복수 대상을 죽게 만들고 기억을 지우는 장면,REF-46,"직접 금지된 행위는 피하면서 결과를 만들고, 기억 삭제로 개입 흔적까지 제거한다.","148화 71,555~71,729행",2026년 8월 5일,준비,Yes,"적대자 A, 복수 대상 B, 순찰 조직",협박자 제거 / 어린 미래 적대자 기억 삭제,Yes,"선행, 핵심",계약이 직접 살해만 금지하며 치명상 상태와 기억 삭제 수단이 있음,높음
원래 시간대로 돌아갈 방법·위험·자원을 나눠 상호 의존을 협상하는 장면,REF-46,각자가 가진 정보와 자원을 교환해 혼자서는 불가능한 귀환 계획을 조건부 공동 과제로 만든다.,"285화 141,713~141,893행",2026년 8월 5일,준비,Yes,"귀환 희망자 A, 협력자 B",표류 공동 생존 / 약속 이행,Yes,"대비, 핵심",양쪽 모두 귀환을 원하지만 필요한 조건을 나눠 가짐,높음
정한 시점에 자원과 조사 결과를 가져와 약속 이행을 증명하는 장면,REF-46,관계 변화가 감정 고백이 아니라 기한·자원·조사 결과의 실제 이행으로 증명된다.,"287화 142,543~142,579행",2026년 8월 5일,준비,Yes,"계획자 A, 협력자 B",귀환 협상 / 정체 검증,Yes,"핵심, 후속",고위험 계획의 준비 약속이 실제 수행되어야 함,중간
해독제와 전투력을 제공해도 과거 범죄 때문에 집단 감시가 남는 장면,REF-46,생존 공적이 즉시 도덕적 신뢰로 환산되지 않고 무기 대치와 감시가 유지된다.,"277화 137,209~137,317행",2026년 8월 5일,준비,Yes,"약탈자 A, 부상자 B, 경계자 C, 일행",구조 후 상태 확인 / 반복 역할 이행,Yes,"대비, 핵심",과거 범죄자가 현재 생존에 필요한 약과 전투력을 제공함,높음
기억 삭제 실패를 단서로 정체를 추론하고 직접 검증하는 장면,REF-46,과거의 예외와 현재 행동을 연결하되 추측에서 멈추지 않고 질문과 검증 장치로 확정한다.,"301~302화 150,001~150,321행",2026년 8월 5일,준비,Yes,"검증자 A, 피검증자 B",기억 삭제 실패 / 약점 확보와 목표 분리,Yes,"대비, 핵심",동일 인물 가설을 지지하는 단서는 있지만 확정 증거가 없음,높음
가족 상실과 범죄 이력을 공개해 복수 목표의 기원을 설명하는 장면,REF-46,과거 범죄를 지우지 않고 가족 상실과 복수 목표가 연결된 경로를 공개한다.,"305화 150,947~151,279행",2026년 8월 5일,준비,Yes,"복수자 A, 협력자 B, 가족과 과거 조직",목표 분리 / 조건부 동료 약속,Yes,"핵심, 후속",장기 복수 목표의 기원과 책임을 설명해야 함,높음
미래 적대자의 어린 육체를 죽이지 않고 기억 삭제로 위험을 우회하는 장면,REF-46,미래 위험과 현재 책임을 분리해 살해보다 덜 치명적인 처리부터 시도한다.,"300~301화 149,705~150,081행",2026년 8월 5일,준비,Yes,"협력자 A, 계획자 B, 어린 미래 적대자 C",초기 기억 삭제 / 삭제 실패와 정체 검증,Yes,"대비, 이탈",미래에는 적이지만 현재는 어린 육체이며 기억 삭제 수단이 있음,높음
불확실한 탈출 계획에 합의하고 전위·극딜 역할을 반복 이행하는 장면,REF-46,계획의 실패 대비까지 확인한 뒤 감정이 아니라 역할 반복으로 협력의 예측 가능성을 쌓는다.,"278~280화 138,393~139,200행",2026년 8월 5일,준비,Yes,"계획자 A, 적대적 협력자 B, 일행",해독·불신 / 미끼 잔류,Yes,"핵심, 후속",과거 적대자를 포함한 집단이 고위험 탈출 계획을 수행해야 함,높음
신뢰 확인과 배신 방지용 약점 확보를 함께 인정하고 목표를 분리하는 장면,REF-46,믿어도 되는지 알고 싶은 욕망과 배신 방지 계산을 동시에 인정해 신뢰를 무방비와 분리한다.,"302화 150,329~150,503행",2026년 8월 5일,준비,Yes,"검증자 A, 피검증자 B",정체 검증 / 복수 기원 공개,Yes,"대비, 핵심",정체는 확인됐지만 과거 적대와 미래 배신 위험이 남음,높음
동료를 먼저 탈출시키고 빚과 성공 계산 때문에 둘만 미끼로 남는 장면,REF-46,구조받은 빚과 성공 가능성 계산이 같은 선택을 지지해 두 사람이 마지막 위험을 맡는다.,"280~281화 139,227~139,379행",2026년 8월 5일,준비,Yes,"전위 A, 적대적 협력자 B, 탈출 일행",반복 역할 이행 / 표류 공동 생존,Yes,"대비, 핵심",다른 동료를 살리려면 둘이 남아 적을 끌어야 함,높음
표류 전투에서 방어·공격·고정·귀환 자원을 나누면서도 정보 경계를 남기는 장면,REF-46,전투 합은 전우 수준으로 높아지지만 숙원 물건과 최종 목적의 비밀은 공개되지 않는다.,"281~282화 139,425~140,179행",2026년 8월 5일,준비,Yes,"전위 A, 극딜 B, 보스와 특수 자원",미끼 잔류 / 귀환 협상,Yes,"핵심, 후속",둘만 남아 광역 피해와 표류를 버텨야 함,높음
비상 계획을 유지한 채 지원 범위와 결별 조건을 명시하는 협력자 계약 장면,REF-46,목표 일치나 전면 신뢰 없이 지원 범위·결별 시점·비상 계획 보유를 언어로 고정한다.,"500~501화 246,401~246,533행",2026년 8월 5일,준비,Yes,"협력자 A, 협력자 B",결별선 위협 / 예정된 미래 공개,Yes,"핵심, 후속",핵심 목표는 다르지만 공동 이익과 지원 가능성이 남음,높음
소중한 동료를 제거하겠다는 가정으로 즉시 결별선을 확인하는 장면,REF-46,핵심 목표가 관계를 침해할 때 협력 종료와 적대 전환 조건을 직접 확인한다.,"437화 215,577~215,807행",2026년 8월 5일,준비,Yes,"귀환 우선자 A, 관계 우선자 B, 동료 C",목표 시험 / 협력자 계약,Yes,"실패, 이탈, 핵심",귀환 목표와 소중한 관계가 충돌할 수 있음,높음
즉시 귀환 선택 질문으로 가치 우선순위와 거짓말을 판정하는 장면,REF-46,답변 내용과 반응 지연을 함께 보며 귀환과 현재 관계 중 무엇이 우선인지 시험한다.,"436화 215,403~215,529행",2026년 8월 5일,준비,Yes,"질문자 A, 응답자 B",정체 확인 / 결별선 위협,Yes,"대비, 핵심",핵심 목표 우선순위가 완전히 일치하지 않음,높음
구원 약속과 증언·전투 역할을 묶어 배신하기 어려운 계약을 만드는 장면,REF-46,희망을 협력 조건과 실적에 묶어 계약 대상의 이탈 가능성을 줄인다.,"340화 167,359~167,479행",2026년 8월 5일,준비,Yes,"계약 제공자 A, 계약 대상 B",구원 제안 / 지연 종속,Yes,"대비, 실패, 핵심",계약 대상이 희망 때문에 거절하기 어려움,높음
현실 조우에서 공격과 떠보기를 병행해 정체를 강제 확인하는 장면,REF-46,공통 출신 가능성만으로 믿지 않고 공격·질문·반응을 통해 현재 정체를 확인한다.,"250~251화 124,851~125,079행",2026년 8월 5일,준비,Yes,"검증자 A, 피검증자 B",출신 인증 / 현실 경계,Yes,"대비, 핵심",현실 공간에서 만났지만 실제 정체와 의도를 확정할 수 없음,높음
제삼자 편입 이유와 과거 정보를 교환하되 공개 범위를 제한하는 장면,REF-46,정체 확인 뒤 정보 교환은 늘지만 모든 비밀과 최종 계획은 넘기지 않는다.,"436화 215,173~215,295행",2026년 8월 5일,준비,Yes,"협력자 A, 협력자 B, 제삼자 C",상호 정체 확인 / 목표 시험,Yes,"대비, 후속",정체는 확인됐지만 장기 계획 전체는 공유되지 않음,높음
상호 정체 확인 직후 상징 이용 책임과 은폐를 묻는 장면,REF-46,정체 확인을 친밀감으로 닫지 않고 상대를 이용한 책임과 숨긴 정보 범위를 먼저 묻는다.,"435~436화 214,817~215,127행",2026년 8월 5일,준비,Yes,"협력자 A, 협력자 B",정보망 접근 / 귀환 목표 시험,Yes,"핵심, 후속",상호 정체와 장기 은폐 책임이 동시에 드러남,높음
공통 출신을 인증한 뒤 현실 정체와 현지 신분을 분리하는 장면,REF-46,같은 출신은 친근한 접근권을 열지만 서로의 현재 신분과 장기 목적은 자동 공개되지 않는다.,"124화 59,669~59,813행",2026년 8월 5일,준비,Yes,"동향인 A, 동향인 B, 익명 정보망",정보망 접근 / 현실 조우,Yes,"선행, 핵심",공통 출신은 확인했지만 현재 신분과 목적은 모름,높음
고급 정보와 익명 정보망 접근권을 주면서 장기 목적은 숨기는 장면,REF-46,초기 호의는 정보·접근권으로 나타나지만 자기 세력과 귀환 계획은 비공개로 남는다.,"124화 59,883~59,989행",2026년 8월 5일,준비,Yes,"동향인 A, 정보 제공자 B, 익명 정보망",출신 인증 / 상호 정체 확인,Yes,"대비, 후속",정보 제공은 가능하지만 장기 계획 공개는 위험함,높음
상징 이용과 폭력 계획을 공개하고 현재 보호선을 만드는 장면,REF-46,과거 이용 책임과 폭력 계획을 인정한 뒤 현재 동료에 대한 위해 금지 범위를 협상한다.,"470화 231,423~231,527행",2026년 8월 5일,준비,Yes,"상징으로 이용된 A, 계획자 B, 현재 동료들",상호 정체 책임 / 미래 기록 공개,Yes,"핵심, 후속",과거 이용과 현재 협력의 보호 범위를 분리해야 함,높음
제삼자의 보호권을 돌려주는 행위로 다음 협력 조건을 여는 장면,REF-46,제삼자 인도는 순수 호의가 아니라 다음 정보·지원 협상의 입구가 된다.,"469~470화 231,219~231,395행",2026년 8월 5일,준비,Yes,"보호자 A, 협상자 B, 제삼자 C",상징 이용 공개 / 종속 반례,Yes,"대비, 후속",제삼자의 소속과 보호권을 되돌려야 함,높음
상실한 사람의 소생 가능성을 제안해 장기 협력의 문을 여는 장면,REF-46,구원 가능성이 절실한 상대에게 희망을 제시하지만 실행 시점과 조건은 제공자가 독점한다.,"312~313화 154,743~154,903행",2026년 8월 5일,준비,Yes,"계약 제공자 A, 상실한 인물 B, 부재한 인물 C",구원 계약 / 지연 종속,Yes,"선행, 핵심",상실 회복 희망이 절실하고 제공자가 방법을 독점함,높음
공통 출신 뒤에도 현실에서는 남으로 지내자고 경계를 세우는 장면,REF-46,출신이 같아도 귀환과 현재 세계의 우선순위가 달라 현실 관계권을 제한한다.,"251화 125,183~125,303행",2026년 8월 5일,준비,Yes,"동향인 A, 동향인 B",정체 확인 / 귀환 목표 충돌,Yes,"대비, 이탈",공통 출신이지만 장기 우선순위가 다름,높음
구원 약속이 지연·실적 요구·업무적 종속으로 바뀐 제삼자 장면,REF-46,희망 때문에 떠나지 못한 계약 대상이 실행 지연과 실적 평가 아래 업무적 잔류로 굳어진다.,"477화 234,789~234,913행",2026년 8월 5일,준비,Yes,"계약 제공자 A, 계약 대상 B, 부재한 인물 C",구원 제안 / 구원 계약,Yes,"대비, 실패, 후속",제공자가 시점과 평가권을 독점하고 대상은 희망 때문에 이탈하기 어려움,높음
예정된 미래와 장기 은폐 동기를 공개하는 장면,REF-46,예정된 미래·귀환 가능성·비상 계획을 공개해 장기 은폐의 목적을 드러낸다.,"500화 246,081~246,399행",2026년 8월 5일,준비,Yes,"협력자 A, 협력자 B, 예정된 미래 기록",폭력 계획 공개 / 협력자 계약,Yes,"핵심, 후속",장기 계획이 상대의 동료와 세계에 위험을 줄 수 있음,높음
참 판정을 받은 정보가 발화자의 잘못된 확신일 수 있음을 공개하는 장면,REF-46,장치는 객관적 사실이 아니라 발화자가 믿는 내용을 통과시킬 수 있어 참가자 반응과 현실 조건을 다시 확인해야 한다.,"125~126화 60,589~60,799행",2026년 8월 5일,준비,Yes,"발화자 A, 집회 참가자들",최소 문장 이의 / 상반된 확신 통과,Yes,"오해, 핵심",발화자가 과거 지식을 강하게 믿지만 현재 조건과 충돌할 수 있음,높음
답변 거부 사유를 검증하고 답변자가 질문을 선택하는 규칙을 투표로 만드는 장면,REF-46,무조건 답변이 아니라 거절 사유의 진실성과 질문 선택권을 별도 규칙으로 배분한다.,"572화 278,379~278,517행",2026년 8월 5일,준비,Yes,"제안자 A, 반대자 B, 답변자와 질문자들",사적 질문 거절 / 최소 발화 종료,Yes,"핵심, 후속",질문 게임에 정체 노출 위험과 질문 강제 문제가 있음,높음
공식 거래 전 사적 질문을 거절하고도 추가 압박 없이 순서를 시작하는 장면,REF-46,규칙 밖 질문에는 답변 의무가 없고 거절이 관계 파탄이나 제재로 이어지지 않는다.,"125화 60,383~60,443행",2026년 8월 5일,준비,Yes,"신입 A, 질문자 B, 익명 집회 참가자들",최소 문장 이의 / 답변자 질문 선택,Yes,"대비, 선행",공식 거래 시작 전의 사적 질문임,높음
군중·전문가·기록·당사자 검증을 겹쳐 거짓 증언과 회유를 뒤집는 장면,REF-46,서로 다른 실패 가능성을 가진 증거원을 공개 자리에서 충돌시켜 한 기관의 판정을 뒤집는다.,"39~40화 18,489~19,115행",2026년 8월 5일,준비,Yes,"피조사자 A, 전문가 B, 거짓 증인 C, 군중과 기록",공개 상황 조성 / 묵비권 대비,Yes,"핵심, 후속",내부 증언과 기록이 오염됐지만 공개 교차 검증이 가능함,높음
잘못된 정보를 진실이라 믿는 발화가 참 판정을 받아 출처와 의도를 다시 추적하는 장면,REF-46,판정 이후에도 출처·동기·접근 경로를 묻지 않으면 잘못된 확신이 행동 기준이 될 수 있다.,"471화 232,103~232,229행",2026년 8월 5일,준비,Yes,"정보 제공자 A, 익명 집회 참가자들",초기 잘못된 확신 / 상반된 판정,Yes,"오해, 핵심",발화자는 강하게 확신하지만 출처와 객관적 사실 여부가 불명확함,높음
검증 비용을 내겠다는 피조사자도 신분 규칙 때문에 요청권을 거부당하는 장면,REF-46,검증 기술이 존재해도 요청권이 신분에 묶이면 약자는 비용을 내고도 접근하지 못한다.,"37화 17,521~17,537행",2026년 8월 5일,준비,Yes,"피조사자 A, 조사 기관 B",저등급 검증 실패 / 공개 검증 강제,Yes,"선행, 핵심",피조사자가 비용을 부담할 의사가 있지만 신분 등급이 낮음,높음
묵비권과 부분 진실을 예상해 증인·법률 조력자를 추가하는 장면,REF-46,검증 장치가 있어도 불리한 질문을 피할 수 있으므로 증거원과 절차를 늘린다.,"467화 230,255~230,293행",2026년 8월 5일,준비,Yes,"분쟁 당사자 A, 조사자 B, 증인과 법률 조력자",공개 교차 검증 / 거절 사유 검증,Yes,"핵심, 후속",증언자가 불리한 질문에 침묵하고 유리한 진실만 말할 수 있음,중간
약한 검증이 실패하자 더 강한 검증 대신 자백 압박과 형 집행으로 전환하는 장면,REF-46,기관은 정확도를 높이는 비용보다 사건을 빨리 닫는 편을 택해 검증 실패를 피조사자 책임으로 전환한다.,"38화 17,665~17,731행",2026년 8월 5일,준비,Yes,"피조사자 A, 조사관 B, 저등급 검증자 C",요청권 거부 / 공개 상황 조성,Yes,"실패, 핵심",초기 검증은 실패했고 고급 검증 비용이 큼,높음
기관이 입막음할 수 없는 공개 상황을 만들고 당사자·전문가를 한자리에 요구하는 장면,REF-46,내부 절차가 막히자 공개 비용을 높여 검증 요청권을 사실상 강제로 확보한다.,"38~39화 17,769~18,405행",2026년 8월 5일,준비,Yes,"피조사자 A, 조사 기관 B, 군중과 전문가들",형 집행 결정 / 공개 교차 검증,Yes,"핵심, 후속",기관이 사건을 내부 종결하려 하고 피조사자는 정식 요청권이 없음,높음
상반된 확신이 모두 참 판정을 받을 수 있고 최소 발화 뒤 턴을 끝내는 장면,REF-46,장치보다 누적 행동 기록과 집단 평판이 실제 수용을 결정하며 발화자는 추가 질문을 무시할 수 있다.,"472화 232,343~232,491행",2026년 8월 5일,준비,Yes,"주장자 A, 반대자 B, 집회 참가자들",잘못된 확신 / 질문 선택 규칙,Yes,"대비, 오해, 핵심",상반된 주장을 말하는 양쪽 모두 자기 확신에 따라 참 판정을 받을 수 있음,높음
참 판정을 받은 최소 문장이 정보량 부족 이의를 받고 추가 발화가 협상되는 장면,REF-46,문장 진위와 거래 가치가 분리되며 참가자들은 충분한 정보인지 별도로 판정한다.,"125화 60,519~60,573행",2026년 8월 5일,준비,Yes,"발화자 A, 이의 제기자 B, 집회 참가자들",사적 질문 거절 / 잘못된 확신 통과,Yes,"대비, 핵심",발화는 참이지만 거래 가치가 부족함,높음
발언 출처와 소문 진위를 분리하고 추가 근거의 가격을 협상하는 장면,REF-46,누가 그런 말을 했는지와 그 말이 사실인지를 분리한 뒤 더 깊은 근거는 별도 거래로 전환한다.,"92화 44,993~45,013행",2026년 8월 5일,준비,Yes,"정보 구매자 A, 판매자 B, 발언자 C",닻 질문 / 목적·조건·대응 설명,Yes,"대비, 핵심",출처 발언과 객관적 진위가 혼동되며 근거 정보의 가치가 더 높음,높음
심문자가 언어 이해를 숨기고 질문 없이 압박해 침묵·고통 반응의 기준을 만드는 장면,REF-46,핵심 질문 전에 반응 차이와 한계점을 관찰하지만 강압은 답변의 신뢰를 올리는 것이 아니라 대답 행동을 만들 뿐이다.,"481화 237,033~237,083행",2026년 8월 5일,준비,Yes,"심문자 A, 포로 B와 C",사소한 질문 단계 / 강압 신뢰 비용,Yes,"실패, 핵심",포로의 거짓말·침묵 기준을 모르며 심문자는 언어 이해를 숨길 수 있음,높음
조직 목적·실행 조건·소문 유포·다른 기관의 대응을 연결해 행동 가능한 설명을 만드는 장면,REF-46,한 문장의 소문을 여러 조직의 목적과 예상 행동이 맞물리는 인과 구조로 바꿔 임시 행동 기준을 만든다.,"92~93화 45,013~45,043행",2026년 8월 5일,준비,Yes,"정보 구매자 A, 판매자 B, 조직 C, 대응 기관 D",출처·진위 분리 / 후속 공개 기록 확인,Yes,"핵심, 후속",소문 진위를 판단하려면 유포 주체의 목적과 다른 기관의 예상 대응이 필요함,높음
사소한 개인 질문으로 대답 행동을 만든 뒤 핵심 정체 질문까지 수위를 올리는 장면,REF-46,답변 중 고통이 멈추는 패턴과 사소한 사실의 반응 기준을 만든 뒤 핵심 질문으로 이동한다.,"481~482화 237,085~237,121행",2026년 8월 5일,준비,Yes,"심문자 A, 포로 B",무질문 압박 / 핵심 조직 정보,Yes,"핵심, 후속",포로가 한계에 도달했지만 처음부터 핵심 질문을 하면 답변 기준을 비교하기 어려움,높음
직접 소문 대신 이미 아는 인물을 닻으로 묻고 판매자의 자발적 연결을 확인하는 장면,REF-46,검증 불가능한 주장보다 실재와 행동을 아는 인물을 먼저 물어 판매자가 스스로 소문과 연결하는지 본다.,"92화 44,957~44,995행",2026년 8월 5일,준비,Yes,"정보 구매자 A, 판매자 B, 알려진 인물 C",정보 채널 제한 / 출처와 진위 분리,Yes,핵심,직접 소문은 검증하기 어렵지만 관련 인물의 실재와 최근 행동은 알고 있음,높음
정보 판매를 수익원이 아니라 검증 가능한 정보 획득 채널로 제한하는 장면,REF-46,정보 자산을 더 팔아 수익을 늘리는 대신 정체와 장기 정보 우위를 지키기 위해 구매 채널로만 사용한다.,"92화 44,921~44,943행",2026년 8월 5일,준비,Yes,"정보 구매자 A, 정보 시장 이용자들",닻 질문 / 설명 구조 검증,Yes,"대비, 선행",판매 수익은 크지만 정체와 정보 자산 노출 위험이 있음,높음
누적 전사자 수를 반영해 각 조의 생존 인원을 다시 균형 배치하는 장면,REF-46,사망 총계가 다음 조직도의 실제 숫자로 들어간다.,"560화 273,405~273,425행",2026년 8월 5일,준비,Yes,"지휘관 A, 전투 집단 B",재편 예고 / 지휘 구조 개편,Yes,"대비, 후속",연속 전투로 조별 생존 인원 차이가 커짐,낮음
전투 중 이름·조·소속을 붙여 실시간 전사 보고를 이어가는 장면,REF-46,개별 죽음이 애도와 동시에 전열의 빈자리로 기록된다.,"558화 272,540~272,570행",2026년 8월 5일,준비,Yes,"전투 집단, 전사자 A와 B, 보고자 C",임무 속행 / 중심 수호자 이탈,Yes,핵심,전투 중 사망자가 계속 발생하며 배치 갱신이 필요함,중간
총 사망과 생존 수 뒤에 직군 분포를 보고해 근접 전사 둘만 남았음을 확인하는 장면,REF-46,절반 생존이라는 숫자를 직군별로 다시 나눠 기능적 붕괴를 드러낸다.,"68화 32,635~32,675행",2026년 8월 5일,준비,Yes,"부지휘자 A, 부관 B, 생존자 집단",지원 붕괴 / 수호자 공백,Yes,핵심,생존자는 남았지만 직군별 손실이 불균형함,중간
법적 승계와 실제 지휘 가능성의 충돌을 공개 투표로 풀고 보좌권을 재임명하는 장면,REF-46,직위 규칙과 행동 신뢰가 충돌할 때 공개 절차와 첫 명령으로 지휘권·보좌권을 고정한다.,"605화 292,800~293,015행",2026년 8월 5일,준비,Yes,"후보 A, 법적 승계자 B, 전 대원 집단",지휘 공백 / 직업별 책임 구조,Yes,핵심,법적 승계권과 실제 명령 신뢰가 서로 다른 인물에게 있음,높음
생존자 총수보다 전문 방어 역할의 부재를 핵심 공백으로 판정하는 장면,REF-46,근접 인원이 남아도 길을 열고 전열을 유지할 전문 방어자가 없으면 집단 생존 가능성이 급감한다.,"68화 32,713~32,735행",2026년 8월 5일,준비,Yes,"부지휘자 A, 생존자 집단",직군 분포 / 후보 투자,Yes,핵심,근접 인원은 있으나 전문 방어 역할을 수행할 사람이 없음,중간
모든 실패 책임을 지휘관에게 귀속한 뒤 혼합 조를 직업별 책임 구조로 재편하는 장면,REF-46,최종 책임과 기능별 명령 귀속점을 동시에 만들어 손실·실패가 어디에서 정산되는지 명확히 한다.,"606화 293,230~293,330행",2026년 8월 5일,준비,Yes,"새 지휘관 A, 직업별 책임자들 B, 하위 파트장들 C",승계 투표 / 후속 탐사 명령 체계,Yes,"핵심, 후속",기존 혼합 조는 전력 균형은 있으나 기능별 책임 귀속이 흐림,높음
대규모 손실 뒤 조장에게 생존자 돌봄을 맡기고 인원 재편을 예고하는 장면,REF-46,손실 보고가 휴식·돌봄 책임·다음 편제 변경으로 즉시 이어진다.,"559화 273,125~273,145행",2026년 8월 5일,준비,Yes,"지휘관 A, 조장들 B, 생존자 집단",손실 총계 / 조별 균형 재배치,Yes,후속,대규모 전사·부상 뒤 기존 조 편제를 유지할 수 없음,중간
